CPU型号,CPU频率,GPU型号,RAM容量,ROM容量,id,主屏分辨率,主屏尺寸,价格,前置摄像头,后置摄像头,型号,摄像头总数,核心数,电池容量,tags,cpu
苹果 A11+M11协处理器,,,3GB>游戏运行卡顿,64GB/256GB1.3万张照片5461首歌曲,108,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,5188,700万像素普通级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,苹果iPhone 8 Plus（国际版/全网通）,三摄像头（后双）>,六核>,2675mAh小电池,性能 速度 流畅 综合 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性价比 体验 效率 价格 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性,a11
海思 Kirin 655,2.1GHz（大四核），1.7GHz（小四核）,Mali-T830-MP2,4GB>游戏运行一般,32GB/64GB6553张照片2730首歌曲,109,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,789,800万像素>普通级像素高像素自拍手机>,1200万像素+200万像素高清级像素 样张秀>，高清像素手机>,荣耀畅玩6X（BLN-AL10/4GB RAM/全网通）,三摄像头（后双）>,八核>,3340mAh大电池大电池手机>,外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性价比 体验 效率 价格,麒麟655
高通 骁龙835（MSM8998）,2.45GHz,高通 Adreno540,6GB>游戏运行良好,64GB>1.3万张照片5461首歌曲,110,2160x1080像素1080P高清（击败98.21%手机）,6.01英寸需双手打字更多6.01英寸手机＞,2999,1600万像素>高清级像素高像素自拍手机>,2000万像素+1600万像素高清级像素 样张秀>，高清像素手机>,一加5T（6GB RAM/全网通）,三摄像头（后双）>,八核>,3300mAh大电池大电池手机>,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性能 速度 流畅 综合,骁龙835
骁龙730,2.2GHz+1.8GHz,高通 Adreno618,8GB>游戏运行流畅,128GB>2.6万张照片1.1万首歌曲,111,2400x1080像素1080P高清（击败98.21%手机）,6.7英寸需双手打字更多6.7英寸手机＞,即将上市,,4800万像素+800万像素+800万像素高清级像素高清像素手机>,三星GALAXY A80（8GB RAM/全网通）,升降式可旋转三摄,八核>,3700mAh大电池大电池手机>,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电,
海思 Kirin 659,2.36GHz（大四核），1.7GHz（小四核）,Mali T830-MP2,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,112,2160x1080像素1080P高清（击败98.21%手机）,5.65英寸可单手打字更多5.65英寸手机＞,880,1300万像素+200万像素高清级像素高像素自拍手机>,1300万像素+200万像素高清级像素 样张秀>，高清像素手机>,荣耀9青春版（3GB RAM/全网通）,四摄像头>,八核>,3000mAh小电池,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 网络 信号 性价比 体验 效率 价格,麒麟659
高通 骁龙660,2.2GHz（大四核），1.8GHz（小四核）,高通 Adreno512,6GB>游戏运行良好,64GB/128GB1.3万张照片5461首歌曲,113,2160x1080像素1080P高清（击败98.21%手机）,5.99英寸可单手打字更多5.99英寸手机＞,1299,800万像素>普通级像素高像素自拍手机>,1600万像素+200万像素高清级像素 样张秀>，高清像素手机>,360 手机N7（6GB RAM/全网通）,三摄像头（后双）>,八核>,5030mAh（30分钟充电36%）大电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙660
,2.2GHz（大四核），1.8GHz（小四核）,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,114,2220x1080像素1080P高清（击败98.21%手机）,6.3英寸需双手打字更多6.3英寸手机＞,2069,2400万像素高清级像素高像素自拍手机>,1600万像素+2400万像素高清级像素高清像素手机>,三星Galaxy A9 Star（全网通）,三摄像头（后双）>,八核>,3700mAh大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,
高通 骁龙725,,,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,115,2340x1080像素>1080P高清（击败98.21%手机）,6.4英寸需双手打字更多6.4英寸手机＞,概念产品,1600万像素+800万像素+500万像素高清级像素高像素自拍手机>,双4000万像素高清级像素高清像素手机>,OPPO R19（全网通）,五摄像头（前双+后三）,八核>,3700mAh大电池大电池手机>,,骁龙725
高通 骁龙625,2.0GHz>,高通 Adreno506,4GB>游戏运行一般,32GB/64GB/128GB6553张照片2730首歌曲,116,1920x1080像素>1080P高清（击败98.21%手机）,6.44英寸需双手打字更多6.44英寸手机＞,1379,500万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素 样张秀>，高清像素手机>,小米Max 2（全网通）,双摄像头（前后）>,八核>,5300mAh大电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性价比 体验 效率 价格 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙625
高通 骁龙660,2.2GHz>,高通 Adreno512,6GB>游戏运行良好,64GB/128GB1.3万张照片5461首歌曲,117,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1458,1600万像素>高清级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,小米Note 3（6GB RAM/全网通）,三摄像头（后双）>,八核>,3500mAh大电池大电池手机>,性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性能 速度 流畅 综合,骁龙660
苹果 A12，,,,4GB>游戏运行一般,64GB/256GB/512GB1.3万张照片5461首歌曲,118,2560x1440像素>2K超清（击败99.81%手机）,6.5英寸需双手打字更多6.5英寸手机＞,概念产品,双1200万像素高清级像素高像素自拍手机>,双1900万像素高清级像素高清像素手机>,苹果iPhone 11 Plus（全网通）,三摄像头（后双）>,,,,a12
高通 骁龙625（MSM8953）,2.0GHz>,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,119,1440x720像素720P普清（击败86.79%手机）,5.99英寸可单手打字更多5.99英寸手机＞,1598,2400万像素高清级像素高像素自拍手机>,1600万像素>高清级像素高清像素手机>,vivo Y79（全网通）,双摄像头（前后）>,八核>,3225mAh小电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙625
高通 骁龙660,2.2GHz（大四核），1.8GHz（小四核）,高通 Adreno512,4GB>游戏运行一般,64GB/128GB1.3万张照片5461首歌曲,120,2160x1080像素1080P高清（击败98.21%手机）,6.43英寸需双手打字更多6.43英寸手机＞,2798,2x1200万像素（2400万感光单元）高清级像素高像素自拍手机>,主摄2x1200万像素（2400万感光单元）+副摄500万像素高清级像素 样张秀>，高清像素手机>,vivo X20Plus（全网通）,三摄像头（后双）>,八核>,3905mAh（30分钟充电61%）大电池大电池手机>,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性价比 体验 效率 价格,骁龙660
高通 骁龙710，,2.2GHz>,高通 Adreno616,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,121,2160x1080像素1080P高清（击败98.21%手机）,5.99英寸可单手打字更多5.99英寸手机＞,1999,1600万像素+200万像素高清级像素高像素自拍手机>,1200万像素+200万像素高清级像素高清像素手机>,360 手机N7 Pro红衣版（全网通）,四摄像头（前双+后双）>,八核>,4000mAh大电池,,骁龙710
高通 骁龙845 AIE,2.8GHz,高通 Adreno630,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,122,2248x1080像素1080P高清（击败98.21%手机）,6.21英寸需双手打字更多6.21英寸手机＞,2999,2000万像素高清级像素高像素自拍手机>,双1200万像素高清级像素高清像素手机>,小米8屏幕指纹版（6GB RAM/全网通）,三摄像头（后双）>,八核>,3000mAh小电池,性能 速度 流畅 综合 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电,骁龙845
高通 骁龙435（MSM8940）,1.4GHz（大四核），1.1GHz（小四核）,高通 Adreno505,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,123,1280x720像素>720P普清（击败86.79%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1249,800万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素 样张秀>，高清像素手机>,华为畅享7 Plus（TRT-AL00A/4GB RAM/全网通）,双摄像头（前后）>,八核>,4000mAh大电池,性价比 体验 效率 价格 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合,骁龙435
MTK MT6765,,,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,124,1520x720像素720P普清（击败86.79%手机）,6.2英寸需双手打字更多6.2英寸手机＞,即将上市,1600万像素>高清级像素高像素自拍手机>,1300万像素+200万像素高清级像素高清像素手机>,OPPO A7n,三摄像头（后双）>,八核>,4230mAh大电池,,
高通 骁龙625,2.0GHz>,高通 Adreno506,4GB>游戏运行一般,32GB/64GB6553张照片2730首歌曲,125,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1178,500万像素>普通级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,小米5X（全网通）,三摄像头（后双）>,八核>,3080mAh（30分钟充电44%）小电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性能 速度 流畅 综合,骁龙625
海思 Kirin 710，,,,6GB>游戏运行良好,64GB>1.3万张照片5461首歌曲,126,1920x1080像素>1080P高清（击败98.21%手机）,6.15英寸需双手打字更多6.15英寸手机＞,概念产品,2400高清级像素高像素自拍手机>,4000万像素+2000万像素+2000万像素高清级像素高清像素手机>,华为P30 Lite（全网通）,,八核>,3240mAh小电池,,麒麟710
苹果 A12，,,,,,127,,,概念产品,1100万像素普通级像素高像素自拍手机>,1400万像素+1000万像素+700万像素高清级像素高清像素手机>,苹果iPhone XI Max（全网通）,四摄像头（后三）>,八核>,,,a12
高通 骁龙660,2.2GHz>,高通 Adreno512,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,128,2280x1080像素1080P高清（击败98.21%手机）,6.28英寸需双手打字更多6.28英寸手机＞,2999,2000万像素高清级像素高像素自拍手机>,2000万像素+1600万像素高清级像素 样张秀>，高清像素手机>,OPPO R15梦镜版（梦境红/全网通）,三摄像头（后双）>,八核>,3400mAh大电池大电池手机>,性能 速度 流畅 综合 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙660
高通 骁龙835（MSM8998）,2.45GHz（大四核），1.9GHz（小四核）,高通 Adreno540,8GB>游戏运行流畅,64GB/128GB1.3万张照片5461首歌曲,129,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1999,1600万像素>高清级像素高像素自拍手机>,2300万像素+1200万像素高清级像素 样张秀>，高清像素手机>,努比亚Z17（8GB版/全网通）,三摄像头（后双）>,八核>,3200mAh小电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合,骁龙835
高通 骁龙835,,,6GB>游戏运行良好,256GB>5.2万张照片2.2万首歌曲,130,2160x1080像素1080P高清（击败98.21%手机）,5.65英寸可单手打字更多5.65英寸手机＞,1.7万,1600万像素>高清级像素高像素自拍手机>,1200万像素>高清级像素高清像素手机>,8848 钛金手机M5（巅峰版/全网通）,双摄像头（前后）>,八核>,3450mAh大电池大电池手机>,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙835
联发科 Helio A22,2.0GHz>,,2GB>游戏运行卡顿,16GB>3276张照片1365首歌曲,131,1440x720像素720P普清（击败86.79%手机）,5.45英寸可单手打字更多5.45英寸手机＞,549,500万像素>普通级像素高像素自拍手机>,1300万像素>高清级像素高清像素手机>,小米红米6A（2GB RAM/全网通）,双摄像头（前后）>,四核>,3000mAh小电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性,
海思 Kirin 659,2.36GHz（大四核），1.7GHz（小四核）,Mali-T830 MP2,4GB>游戏运行一般,128GB>2.6万张照片1.1万首歌曲,132,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1159,2000万像素高清级像素高像素自拍手机>,1200万像素+800万像素高清级像素 样张秀>，高清像素手机>,华为nova 2 Plus（BAC-AL00/全网通）,三摄像头（后双）>,八核>,3340mAh大电池大电池手机>,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电,麒麟659
海思 Kirin 710，,2.2GHz（大四核），1.7GHz（小四核）,Mali-G51,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,133,2340x1080像素>1080P高清（击败98.21%手机）,6.5英寸需双手打字更多6.5英寸手机＞,1999,1600万像素+200万像素高清级像素高像素自拍手机>,1300万像素+200万像素高清级像素高清像素手机>,华为畅享9 Plus（6GB RAM/全网通）,四摄像头（前双+后双）>,八核>,4000mAh大电池,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 性能 速度 流畅 综合,麒麟710
高通 骁龙710 AIE,2.2GHz>,高通 Adreno616,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,134,2340x1080像素>1080P高清（击败98.21%手机）,6.3英寸需双手打字更多6.3英寸手机＞,1398,1600万像素>高清级像素高像素自拍手机>,1600万像素+800万像素+500万像素高清级像素高清像素手机>,联想Z5s（4GB RAM/全网通）,四摄像头（后三）>,八核>,3300mAh大电池大电池手机>,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 网络 信号 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性价比 体验 效率 价格,骁龙710
高通 骁龙660,2.2GHz>,高通 Adreno512,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,135,1920x1080像素>1080P高清（击败98.21%手机）,5.5英寸可单手打字更多5.5英寸手机＞,1488,1600万像素>高清级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,小米Note 3（4GB RAM/全网通）,三摄像头（后双）>,八核>,3500mAh大电池大电池手机>,性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性能 速度 流畅 综合,骁龙660
苹果 A12，,,,3GB>游戏运行卡顿,64GB/128GB/256GB1.3万张照片5461首歌曲,136,1792x828像素720P普清（击败87.91%手机）,6.1英寸需双手打字更多6.1英寸手机＞,5899,700万像素普通级像素高像素自拍手机>,1200万像素>高清级像素 样张秀>，高清像素手机>,苹果iPhone XR（国际版/双4G）,双摄像头（前后）>,六核>,2942mAh小电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 性能 速度 流畅 综合 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电,a12
高通 骁龙450,1.8GHz>,高通 Adreno506,3GB>游戏运行卡顿,32GB>6553张照片2730首歌曲,137,1440x720像素720P普清（击败86.79%手机）,5.99英寸可单手打字更多5.99英寸手机＞,859,800万像素>普通级像素高像素自拍手机>,1300万像素+200万像素高清级像素 样张秀>，高清像素手机>,荣耀畅玩7C（3GB RAM/全网通）,三摄像头（后双）>,八核>,3000mAh小电池,性能 速度 流畅 综合 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙450
海思 Kirin 950系列,2.3GHz（大四核），1.8GHz（小四核）,Mali-T880,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,138,2560x1440像素>2K超清（击败99.81%手机）,5.7英寸可单手打字更多5.7英寸手机＞,1635,800万像素>普通级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,荣耀V8（KNT-AL20/高配版/全网通）,三摄像头（后双）>,八核>,3500mAh大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 性能 速度 流畅 综合,麒麟950
海思 Kirin 655,2.1GHz（大四核），1.7GHz（小四核） + 微智核I5,Mali-T830,4GB>游戏运行一般,32GB/64GB6553张照片2730首歌曲,139,1920x1080像素>1080P高清（击败98.21%手机）,5.2英寸可单手打字更多5.2英寸手机＞,888,800万像素>普通级像素高像素自拍手机>,1200万像素>高清级像素 样张秀>，高清像素手机>,荣耀8青春版（PRA-AL00X/4GB RAM/全网通）,双摄像头（前后）>,八核>,3000mAh小电池,性能 速度 流畅 综合 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,麒麟655
海思 Kirin 970,2.36GHz（大四核），1.8GHz（小四核）+微智核i7,Mali-G72 MP12,6GB>游戏运行良好,64GB>1.3万张照片5461首歌曲,140,2340x1080像素>1080P高清（击败98.21%手机）,6.3英寸需双手打字更多6.3英寸手机＞,1878,彩色1600万像素高清级像素高像素自拍手机>,彩色1600万像素+彩色200万像素高清级像素高清像素手机>,荣耀Play（6GB RAM/全网通）,三摄像头（后双）>,八核>,3750mAh（30分钟充电42%）大电池大电池手机>,性价比 体验 效率 价格 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,麒麟970
高通 骁龙855,,高通 Adreno640,12GB>游戏运行流畅,1TB>20.5万张照片8.5万首歌曲,141,3040x1440像素2K超清（击败99.81%手机）,6.4英寸需双手打字更多6.4英寸手机＞,1.1万,1000万像素+800万像素普通级像素高像素自拍手机>,1600万像素+1200万像素+1200万像素高清级像素高清像素手机>,三星Galaxy S10+（12GB RAM/陶瓷版/全网通）,五摄像头（后三）,八核>,4100mAh大电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响,骁龙855
